iEL,1,2,3,4
40221,20745,20744,9194,9197
40222,9149,9151,20745,20746
40223,20746,20745,9197,9195
40224,9152,9149,20746,20747
40225,20747,20746,9195,9198
40226,9150,9152,20747,20748
40227,20748,20747,9198,9196
40228,3013,9150,20748,12475
40229,12475,20748,9196,3044
40230,9153,3013,12475,20749
40231,3014,9153,20749,12625
40232,12625,20749,9199,3045
40233,20749,12475,3044,9199
40234,9154,3014,12625,20750
40235,20750,12625,3045,9200
40236,3015,9154,20750,12775
40237,12775,20750,9200,3046
40238,9155,3015,12775,20751
40239,20751,12775,3046,9201
40240,3016,9155,20751,12925
40241,12925,20751,9201,3047
40242,9156,3016,12925,20752
40243,20752,12925,3047,9202
40244,3017,9156,20752,13075
40245,13075,20752,9202,3048
40246,9157,3017,13075,20753
40247,20753,13075,3048,9203
40248,3018,9157,20753,13225
40249,13225,20753,9203,3049
40250,9158,3018,13225,20754
40251,3019,9158,20754,13375
40252,13375,20754,9204,3050
40253,20754,13225,3049,9204
40254,9159,3019,13375,20755
40255,20755,13375,3050,9205
40256,3020,9159,20755,13525
40257,13525,20755,9205,3051
40258,9160,3020,13525,20756
40259,20756,13525,3051,9206
40260,3021,9160,20756,13675
40261,13675,20756,9206,3052
40262,9161,3021,13675,20757
40263,20757,13675,3052,9207
40264,9164,9161,20757,20758
40265,20758,20757,9207,9210
40266,9162,9164,20758,20759
40267,20759,20758,9210,9208
40268,9165,9162,20759,20760
40269,20760,20759,9208,9211
40270,9163,9165,20760,20761
40271,20761,20760,9211,9209
40272,3022,9163,20761,13825
40273,13825,20761,9209,3053
40274,9166,3022,13825,20762
40275,20762,13825,3053,9212
40276,3023,9166,20762,13975
40277,13975,20762,9212,3054
40278,9167,3023,13975,20763
40279,20763,13975,3054,9213
40280,3024,9167,20763,14125
40281,14125,20763,9213,3055
40282,9168,3024,14125,20764
40283,20764,14125,3055,9214
40284,9171,9168,20764,20765
40285,20765,20764,9214,9217
40286,9169,9171,20765,20766
40287,20766,20765,9217,9215
40288,9172,9169,20766,20767
40289,20767,20766,9215,9218
40290,9170,9172,20767,20768
40291,20768,20767,9218,9216
40292,3025,9170,20768,14275
40293,14275,20768,9216,3056
40294,9173,3025,14275,20769
40295,20769,14275,3056,9219
40296,3026,9173,20769,14425
40297,14425,20769,9219,3057
40298,9174,3026,14425,20770
40299,20770,14425,3057,9220
40300,3027,9174,20770,14575
40301,14575,20770,9220,3058
40302,9175,3027,14575,20771
40303,3028,9175,20771,14725
40304,14725,20771,9221,3059
40305,20771,14575,3058,9221
40306,9176,3028,14725,20772
40307,20772,14725,3059,9222
40308,3029,9176,20772,14875
40309,14875,20772,9222,3060
40310,9177,3029,14875,20773
40311,20773,14875,3060,9223
40312,3030,9177,20773,15025
40313,15025,20773,9223,3061
40314,9178,3030,15025,20774
40315,20774,15025,3061,9224
40316,3031,9178,20774,15175
40317,15175,20774,9224,3062
40318,9179,3031,15175,20775
40319,20775,15175,3062,9225
40320,3032,9179,20775,15325
40321,15325,20775,9225,3063
40322,9180,3032,15325,20776
40323,3033,9180,20776,15475
40324,15475,20776,9226,3064
40325,20776,15325,3063,9226
40326,9181,3033,15475,20777
40327,20777,15475,3064,9227
40328,9184,9181,20777,20778
40329,20778,20777,9227,9230
40330,9182,9184,20778,20779
40331,20779,20778,9230,9228
40332,9185,9182,20779,20780
40333,20780,20779,9228,9231
40334,9183,9185,20780,20781
40335,20781,20780,9231,9229
40336,3034,9183,20781,15625
40337,15625,20781,9229,3065
40338,9186,3034,15625,20782
40339,20782,15625,3065,9232
40340,3035,9186,20782,15775
40341,15775,20782,9232,3066
40342,9187,3035,15775,20783
40343,3036,9187,20783,15925
40344,15925,20783,9233,3067
40345,20783,15775,3066,9233
40346,9188,3036,15925,20784
40347,20784,15925,3067,9234
40348,3037,9188,20784,16075
40349,16075,20784,9234,3068
40350,9189,3037,16075,20785
40351,20785,16075,3068,9235
40352,3038,9189,20785,16225
40353,16225,20785,9235,3069
40354,9190,3039,11726,20786
40355,20786,11726,3070,9236
40356,3040,9190,20786,11876
40357,11876,20786,9236,3071
40358,9191,3040,11876,20787
40359,20787,11876,3071,9237
40360,3041,9191,20787,12026
40361,12026,20787,9237,3072
40362,9192,3041,12026,20788
40363,3042,9192,20788,12176
40364,12176,20788,9238,3073
40365,20788,12026,3072,9238
40366,9193,3042,12176,20789
40367,20789,12176,3073,9239
40368,3043,9193,20789,12326
40369,12326,20789,9239,3074
40370,9194,3043,12326,20790
40371,20790,12326,3074,9240
40372,9197,9194,20790,20791
40373,20791,20790,9240,9243
40374,9195,9197,20791,20792
40375,20792,20791,9243,9241
40376,9198,9195,20792,20793
40377,20793,20792,9241,9244
40378,9196,9198,20793,20794
40379,20794,20793,9244,9242
40380,3044,9196,20794,12476
40381,12476,20794,9242,3075
40382,9199,3044,12476,20795
40383,3045,9199,20795,12626
40384,12626,20795,9245,3076
40385,20795,12476,3075,9245
40386,9200,3045,12626,20796
40387,20796,12626,3076,9246
40388,3046,9200,20796,12776
40389,12776,20796,9246,3077
40390,9201,3046,12776,20797
40391,20797,12776,3077,9247
40392,3047,9201,20797,12926
40393,12926,20797,9247,3078
40394,9202,3047,12926,20798
40395,20798,12926,3078,9248
40396,3048,9202,20798,13076
40397,13076,20798,9248,3079
40398,9203,3048,13076,20799
40399,20799,13076,3079,9249
40400,3049,9203,20799,13226
40401,13226,20799,9249,3080
40402,9204,3049,13226,20800
40403,3050,9204,20800,13376
40404,13376,20800,9250,3081
40405,20800,13226,3080,9250
40406,9205,3050,13376,20801
40407,20801,13376,3081,9251
40408,3051,9205,20801,13526
40409,13526,20801,9251,3082
40410,9206,3051,13526,20802
40411,20802,13526,3082,9252
40412,3052,9206,20802,13676
40413,13676,20802,9252,3083
40414,9207,3052,13676,20803
40415,20803,13676,3083,9253
40416,9210,9207,20803,20804
40417,20804,20803,9253,9256
40418,9208,9210,20804,20805
40419,20805,20804,9256,9254
40420,9211,9208,20805,20806
40421,20806,20805,9254,9257
40422,9209,9211,20806,20807
40423,20807,20806,9257,9255
40424,3053,9209,20807,13826
40425,13826,20807,9255,3084
40426,9212,3053,13826,20808
40427,20808,13826,3084,9258
40428,3054,9212,20808,13976
40429,13976,20808,9258,3085
40430,9213,3054,13976,20809
40431,20809,13976,3085,9259
40432,3055,9213,20809,14126
40433,14126,20809,9259,3086
40434,9214,3055,14126,20810
40435,20810,14126,3086,9260
40436,9217,9214,20810,20811
40437,20811,20810,9260,9263
40438,9215,9217,20811,20812
40439,20812,20811,9263,9261
40440,9218,9215,20812,20813
40441,20813,20812,9261,9264
40442,9216,9218,20813,20814
40443,20814,20813,9264,9262
40444,3056,9216,20814,14276
40445,14276,20814,9262,3087
40446,9219,3056,14276,20815
40447,20815,14276,3087,9265
40448,3057,9219,20815,14426
40449,14426,20815,9265,3088
40450,9220,3057,14426,20816
40451,20816,14426,3088,9266
40452,3058,9220,20816,14576
40453,14576,20816,9266,3089
40454,9221,3058,14576,20817
40455,3059,9221,20817,14726
40456,14726,20817,9267,3090
40457,20817,14576,3089,9267
40458,9222,3059,14726,20818
40459,20818,14726,3090,9268
40460,3060,9222,20818,14876
40461,14876,20818,9268,3091
40462,9223,3060,14876,20819
40463,20819,14876,3091,9269
40464,3061,9223,20819,15026
40465,15026,20819,9269,3092
40466,9224,3061,15026,20820
40467,20820,15026,3092,9270
40468,3062,9224,20820,15176
40469,15176,20820,9270,3093
40470,9225,3062,15176,20821
40471,20821,15176,3093,9271
40472,3063,9225,20821,15326
40473,15326,20821,9271,3094
40474,9226,3063,15326,20822
40475,3064,9226,20822,15476
40476,15476,20822,9272,3095
40477,20822,15326,3094,9272
40478,9227,3064,15476,20823
40479,20823,15476,3095,9273
40480,9230,9227,20823,20824
40481,20824,20823,9273,9276
40482,9228,9230,20824,20825
40483,20825,20824,9276,9274
40484,9231,9228,20825,20826
40485,20826,20825,9274,9277
40486,9229,9231,20826,20827
40487,20827,20826,9277,9275
40488,3065,9229,20827,15626
40489,15626,20827,9275,3096
40490,9232,3065,15626,20828
40491,20828,15626,3096,9278
40492,3066,9232,20828,15776
40493,15776,20828,9278,3097
40494,9233,3066,15776,20829
40495,3067,9233,20829,15926
40496,15926,20829,9279,3098
40497,20829,15776,3097,9279
40498,9234,3067,15926,20830
40499,20830,15926,3098,9280
40500,3068,9234,20830,16076
40501,16076,20830,9280,3099
40502,9235,3068,16076,20831
40503,20831,16076,3099,9281
40504,3069,9235,20831,16226
40505,16226,20831,9281,3100
